Name,US release Date,Director,Producer,Duration_min,IMDB rating,metascore,Cast,Budget,Domestic Gross,Total Gross,ROI,Opening Gross,Oscar Nomination,Oscar won,Phase
The incredible Hulk,"June 13, 2008",Louis Leterrier,"Avi Arad ,Gale Ann Hurd and Kevin Feige",112,66,61,"Edward Norton , Liv Tyler , Tim Roth",150000000,134806913,264770996,76.5,55414050,0,0,1
Captain America: The first Avenger,"July 22, 2011",Joe Jhonston,Kevin Feige,124,69,66,"Chris Evans ,  Hugo Weaving , Samuel L. Jackson",140000000,176654505,370569774,164.7,65058524,0,0,1
Thor,"May 6, 2011",Kenneth Branagh,Kevin Feige,115,70,57,"Chris Hemsworth , Anthony Hopkins , Natalie Portman",150000000,181030624,449326618,199.6,65723338,0,0,1
Ant-Man,"July 17, 2015",Peyton Reed,Kevin Feige,117,73,64,"Paul Rudd , Michael Douglas , Corey Stall",130000000,180202163,519311965,299.5,57225526,0,0,2
Iron Man,"May 2, 2008",Jon Favreau,Avi Arad and Kevin Feige,126,79,79,"Robert Downey Jr. , Gweneth Paltrow , Terrence Howard",140000000,318604126,585366247,318.1,98618668,2,0,1
Ant-Man and the Wasp,"July 6, 2018",Peyton Reed,Kevin Feige and Stephen Broussard,118,70,70,"Paul Rudd , Evangeline Lilly , Micheal Pena",130000000,216648740,622674139,379.0,75812205,0,0,3
Iron Man 2,"May 7, 2010",Jon Favreau,Kevin Feige,124,70,57,"Robert Downey Jr. , Gweneth Paltrow , Mickey Rourke",200000000,312433331,623933331,212.0,128122480,1,0,1
Thor: The dark world,"November 8, 2013",Alan Taylor,Kevin Feige,112,68,54,"Chris Hemsworth ,  Natalie Portman , Tom Hiddleston",170000000,206362140,644783140,279.3,85737841,0,0,2
Doctor Strange ,"November 4, 2016",Scott Derrickson,Kevin Feige,115,75,72,"Benedict Cumberbatch , Chiswetel Ejiofor , Racheal McAdams",165000000,232641920,677718395,310.7,85058311,1,0,3
Captain America : The Winter Soldier,"April 4, 2014",Anthony and Joe Russo,Kevin Feige,136,77,70,"Chris Evans , Scarlett Johansson , Samuel L. Jackson",170000000,259746958,714421503,320.2,95023721,1,0,2
Guardians Of the Galaxy,"August 1, 2014",James Gunn,Kevin Feige,121,80,76,"Chris Patt , Vin Diesel , Bradely Cooper",170000000,333714112,772776600,354.6,94320883,2,0,2
Thor:Ragnarok,"November 3, 2017",Taika Waititi,Kevin Feige,130,79,74,"Chris Hemsworth ,  Cate Blanchett , Tom Hiddleston",180000000," 315,058,28",853977126,374.4,122744989,0,0,3
Guardians of the Galaxy Vol. 2,"May 5, 2017",James Gunn,Kevin Feige,136,76,67,"Chris Patt ,  Zoe Saldana , Dave Bautista , Vin Diesel",200000000,389813101,863756051,331.9,146510104,1,0,3
Spider-Man:Homecoming,"July 7, 2017",Jon Watts,Kevin Feige and Amy Pascal,133,74,73,"Tom Holland , Michael Keaton , Robert Downey Jr.",175000000,334201140,880166924,403.0,117027503,0,0,3
Captain-Marvel,"March 8, 2019",Anna Boden and Ryan Fleck,Kevin Feige,123,68,64,"Brie Larson , Samuel L. Jackson , Ben Mendelsohn",160000000,426829839,1128274794,605.2,153433423,0,0,3
Spider-Man:Far From Home,"July 2, 2019",Jon Watts,Kevin Feige and Amy Pascal,129,75,69,"Tom Holland , Samuel L. Jackson , Jake Gyllenhaal",160000000,390532085,1131927996,607.5,92579212,0,0,3
Captain America: Civil War,"May 6, 2016",Anthony and Joe Russo,Kevin Feige,147,78,75,"Robert Downey Jr. , Chris Evans , Scarlett Johansson , Sebastian Stan",250000000,408084349,1153296293,361.3,179139142,0,0,3
Iron Man 3,"May 3, 2013",Shane Black,Kevin Feige,130,71,62,"Robert Downey Jr. , Gweneth Paltrow , Guy Pearce",200000000,408992272,1214811252,507.4,174144585,1,0,2
Black Panther,"February 16, 2018",Ryan Coogler,Kevin Feige,134,73,88,"Chadwick Boseman , Michael B. Jordan , Lupita Nyong'o",200000000," 700,059,56",1346913161,573.5,202003951,7,3,3
Avengers : Age of ultron,"May 1, 2015",Joss Whedon,Kevin Feige,141,73,66,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo",250000000,459005868,1402805868,461.1,191271109,0,0,2
Marvel's the Avengers,"May 4, 2012",Joss Whedon,Kevin Feige,143,80,69,"Robert Downey Jr. , Chris Evans , Scarlett Johansson , Jeremy Renner",220000000,623357910,1518812988,590.4,207438708,1,0,1
Avengers: Infinity War,"April 27, 2018",Anthony and Joe Russo,Kevin Feige,149,84,68,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo , Josh Brolin",300000000,678815482,2048359754,582.8,257698183,1,0,3
Avengers:Endgame,"April 26, 2019",Anthony and Joe Russo,Kevin Feige,181,84,78,"Robert Downey Jr. , Chris Evans , Chris Hemsworth , Mark Ruffalo , Josh Brolin",356000000,858373000,2797501328,685.8,357115007,1,0,3
